question,answer,category
フィールド別にエラーメッセージを設定したい,フィールド別エラーメッセージの設定は、「フィールド別チェック設定」にて行います。??設定手順?［Web］＞［フォーム］＞「フォーム一覧」画面に進み、対象のフォームを選択します。画面左の「Menu」＞「フォーム設定」にある「フィールド別チェック」をクリックします。??画面上部左の「フィールド名」検索ボックスで、エラーメッセージを編集するフィールド名を指定します。??「入力値のチェック」エリアにて、フィールドの「エラーメッセージ」を入力・編集することができます。設定に問題がなければ、［変更］ボタンをクリックします。※変更をフォームに反映するには、トップページから 「変更を反映」 ボタンを押してください。,3
フィールドの順番を変更したい,登録フォーム上のフィールドの順番を変更するためには、「フォーム」の設定画面より可能です。※DBを構成するフィールドの順番は変更できません。「Web」メニューから「フォーム」を選択し、一覧から対象のフォームを選択します。↓左メニュー「入力ページ」をクリックします。「フォーム」にある「項目の表示順」にて、項目の順番を変更します。移動させたいフィールドを選択し、枠の右側にある上下ボタンをクリックすることで任意の場所に移動させることができます。変更後、「入力フォームプレビュー」ボタンを押して画面イメージを確認します。問題なければ画面下の「変更」ボタンをクリックします。以下のようなメッセージが表示されます。この「入力ページ」における変更内容（スタイル、ヘッダの画像など）を「コピー先」のページにもコピーして問題ない場合は「コピーする」にチェックして保存してください。「コピーしない」にチェックした場合は、変更内容は他ページにコピーされません。各ページの設定画面にてそれぞれ設定を行ってください。すべての設定が完了したら、「トップページ」に戻ります。画面下部の「変更内容をフォームに反映」ボタンをクリックし、フォームに変更内容を反映します。（すでに反映済みの場合はボタンはクリックできない状態になっています。）「ソースデザイン」を使用している場合各ページについて、「ソースデザイン」でデザインを適用している場合は、設置しているソースを編集して変更内容を反映します。「デフォルトデザイン」ボタンをクリックすると、フォームで使用しているフィールドに関するHTMLタグを確認することができます。マイエリアや一覧表などにフォームのHTMLページを設置している場合マイエリアや一覧表など、スパイラルの他機能内にフォームのHTMLページを設置している場合は、該当ページも編集して変更内容を反映します。各ページ設定の画面下部にある「マイエリア用ファイル」の「デフォルトデザイン」ボタンをクリックすると、フォームで使用しているフィールドに関するHTMLタグを確認することができます。リモート登録設定をしている場合外部サーバにリモートページを設置している場合は、該当ページも編集して変更内容を反映します。各ページ設定の画面下部にある「リモート用ファイル」の「デフォルトデザイン」ボタンをクリックすると、フォームで使用しているフィールドに関するHTMLタグを確認することができます。最終更新日：2018/4/12,3
クリーニングとはどんな機能ですか,クリーニングとは、DBの検索や更新処理が遅くなってきた場合に処理速度を向上させることができる機能です。クリーニングは、DB機能の「データメンテナンス」にて、以下の方法で実行します。クリーニングの方法1. データメンテナンスのオペレーション「クリーニング」を選択［DB］＞［データメンテナンス］に進み、対象DBを選択し、オペレーション選択画面で［クリーニング］をクリックします。 または、通常DBの操作関連から［データメンテナンス］に進み、オペレーション選択画面で［クリーニング］をクリックします。2. クリーニングの実行クリーニングの実行前に、以下の注意事項をご確認ください。※クリーニング中はDBへアクセスできません。※登録・クリックカウントなどユーザのアクセスが少ないと思われる時間帯に行ってください。※所要時間は30秒程度です。クリーニングの実行に問題がなければ、［クリーニング］ボタンをクリックします。確認画面が表示されます。問題なければ［OK］ボタンをクリックし、クリーニングを実行します。3. クリーニングの完了クリーニングが完了すると、以下の画面が表示されます。［閉じる］ボタンをクリックしてください。,2
機種依存文字とは何ですか,機種依存文字とは、OSやブラウザ等、特定の環境上でしか正しく表示されない文字の事を指します。下記は機種依存文字の一例になります。エンドユーザーが登録したデータを閲覧する時にも、機種依存文字が含まれていると正しく表示されない場合があります。スパイラルにはエンドユーザーが登録する内容や、配信する文面などに機種依存文字がないかチェックする機能があります。設定方法は以下の通りです。【エンドユーザーからの登録の場合】　１．「Ｗｅｂ」の「フォーム管理」をクリック。　　　登録を受け付けるフォームを作成しているDB名をクリックし、　　　フォーム名をクリック後、入力ページの「設定変更」をクリック。　２．[ 全フィールド共通チェック設定 ]の入力値チェック基本設定　　　入力値に機種依存文字が含まれる場合は入力値エラーとするにチェック。　　　エラーメッセージは編集が可能です。【メール配信の場合】　※ここでは一例としてEXPRESS2での方法をご案内します。　１．「メール」の「EXPRESS2」からDBを選択し、ヘッダー情報や　　　文面を設定。　２．「入力文字チェック」をクリック。　　　機種依存文字が含まれている場合、赤字で表示されます。　　　修正して配信していただく事をお薦め致します。,4
絵文字を使ったメールを配信したい,データベースに登録されているメールアドレスに対して絵文字を使ったメールを配信する場合は、「EXPRESS2」を使用します。配信設定は、大きく以下の４手順にて行います。１．「メール形式」にて、「ケータイメール(絵文字対応)【携帯】」を選択２．「リスト」を設定３．「文面」を設定４．「配信日時」を設定１．「メール形式」にて「ケータイメール(絵文字対応)【携帯】」を選択します。２．配信するリストを設定します。「ドメイン抽出」は、「モバイルドメインのみ」にチェックします。３．文面を設定します。使用したい絵文字をクリックして挿入します。プレビューで確認できます４．配信する日時を設定します。配信日時を指定し、［配信予約］をクリックします。以上で、携帯絵文字メールの配信設定が完了です。配信設定の詳細は「DB内のメールアドレスにメールを配信したい (PDF/7.4MB)」 をご覧ください。※携帯絵文字メールは、「サンクスメール配信」「シークエンス配信」「タイムリー配信」でも設定可能です。 ,4
作成したフォームのURLはどこで確認できますか,作成したフォームのURLは、フォームの設定画面で確認することができます。 ［Web］＞［フォーム］に進みます。 「フォーム一覧」から作成したフォームを選択し、設定画面へ進みます。 「設定内容」画面の「URL」欄にフォームのURLが記載されています。?※サーバ内登録フォームURLは、実際に運用される登録ページのURLとして使用できます。,3
サンキューメールの文面を変更したい,　サンキューメールの文面の変更は、「メール」＞「封筒製作：直接入力」で行います。手順封筒の選択文面の変更1. 封筒の選択「あなたが作成した封筒一覧」にて、変更対象となる封筒の［設定］ボタンをクリックします。2. 文面の変更「メール文面設定」の項目にて文面の変更を行います。変更内容に問題がなければ［変更］ボタンをクリックします。,4
「結果がすぐ見える投票」は、携帯ブラウザで動作しますか。,「結果がすぐ見える投票」は、javascriptで動いているため、javascript未対応の携帯ブラウザでは動作致しません。,3
フィールドの入力文字数に制限をかけたい,フォーム上で入力される文字数に制限をかける設定は、「フィールド別チェック設定」にて可能です。※「数字・記号・アルファベット」「テキストフィールド」「テキストエリア」「パスワード」「簡易パスワード」　「メッセージダイジェスト」のみ、制限可能です。「入力バイト数制限」にて、入力させたい文字数を指定します。※ 単位はバイト数です。半角1文字で「1バイト」、全角1文字で「2バイト」となります。関連リンクフィールドの入力文字に「ひらがなのみ」など制限をかけたい最終更新日：2018/1/22,3
置換文字列の規定値とは何ですか,置換文字列の規定値とは、フィールドに値が入っていない場合に差替えられる文字列の事です。例えば、配信文面などで差替えキーワードを使用する際、入力必須でないフィールドを表示させたい時、値が入っていない場合があります。置換文字列の規定値が設定されていない場合は空白が表示されますが、値を入力した場合、設定した値が表示されます。使用例は以下の通りです。今回は「お客」を例に入力してみます。１.「置換文字列の規定値」に文字列を入力し、メールを配信した場合２.「置換文字列の規定値」に文字列を入力せず、メールを配信した場合,2
スパイラルシールとは何ですか,スパイラルシールはインターネットユーザがウェブサイト上のフォームで、 登録する情報が株式会社パイプドビッツが管理するデータベース「スパイラル」 に送信されることを説明するものです。このシールは、「スパイラル」を利用するユーザー企業様が、使用するウェブ サイトを申請し、株式会社パイプドビッツが発行するものです。 詳細内容や設定方法は[管理]のスパイラルシール管理をご参照ください。 またスパイラルシールに関するご案内は 当社ウェブサイトからもご覧いただけます。,3
固定値(hidden)とは何ですか,"固定値(hidden)は、フォームから登録を行った際に、予め設定した値をデータとして自動的に取得したい時に使用します。例えば、「赤坂店の問合せフォームから登録があった際は、自動的に""赤坂店""というデータを取得したい。」複数店舗をお持ちの場合、店舗ごとに問合せフォームを作成し、それぞれの店舗名を固定値(hidden)で設定すると、見かけは同じお問合せフォームでもどの店舗へのお問合せなのかをデータ上で把握する事ができます。設定方法は以下の通りです。１．ひとつのDBに対して、店舗ごとにフォームを作成します。２．使用フィールド設定において、店舗名のフィールドに「特殊入力：固定値（hidden）」を設定します。３．フィールド別チェック設定において、固定値を設定します。フォーム上に表示させるか、させないかも決めることができます。店舗ごとに作成したそれぞれのフォームから登録があった際、固定値で設定した店舗名が自動的に格納されます。",3
「現在このデータベースは、以下の登録手続中です。」と表示される。,上記エラーは、同じDBに対してデータ登録作業が最後まで完了していない にも関わらず、再度データ登録作業を行なおうとしている時に出る画面 になります。対象ＤＢ　　ーデータ登録しようとしているＤＢ名が記載されます。登録データ　　ーどのようなデータを登録しようとしているのか　　　対象ファイル名が記載されます。状態　　ーどのステップで中断しているのかが記載されます。この場合の対処法は２タイプになります。・中断されていた手続きを再開して、データ登録を行なう場合には、　[手続き中の状態を再開]に進む。・中断されていた手続きを取り消して、別のデータを登録する場合には、　[手続き中の状態をキャンセル]に進み、　再度[登録手続きを開始]から新しいデータの登録を行なう。又、[登録手続きに戻る]をクリックすること、データ登録のTOP画面に戻ります。,2
SPFレコードを追加したい,"エンドユーザー様に適切なメールを受信していただくために、スパイラルにて設定する「差出人メールアドレス」のSPFレコードの公開をお勧めしております。SPFレコードを公開し、差出人メールアドレスで利用されるドメインに対して、スパイラルの配信サーバのドメインを追加していただくことで、送信ドメイン認証による受信拒否を回避することができます。スパイラルご担当者様サーバ管理担当者様に、SPF（TXT）レコードの追加を相談いただき、当ページをご案内ください。サーバ管理担当者様SPFレコードへの追加方法について、以下をご覧ください。SPF（TXT）レコードの設定方法includeで宣言してください。なぜincludeを使うのかスパイラルでは、高速配信を実現する為に、配信サーバやIPアドレスのチューニングを常時実施しているため、配信元のIPアドレスが変わる可能性があります。includeを使うことで、IPアドレスの変更を意識することなく、SPFに対応した配信を行うことができます。スパイラル配信サーバのドメインスパイラルの配信サーバのドメインは以下の通りです。smp.ne.jp設定例BIND9の場合example.co.jp. IN TXT ""v=spf1 a +ip4:XXX.XXX.XXX.XXX/yy include:smp.ne.jp ~all""djbdnsの場合'example.co.jp:v=spf1 ip4?072XXX.XXX.XXX.XXX/yy include:smp.ne.jp ~all:86400「example.co.jp」は、差出人メールアドレスで利用するドメインです。「XXX.XXX.XXX.XXX/yy」は、差出人メールアドレス「example.co.jp」で利用するドメインが使用している配信サーバのIPアドレスです。設定したSPFレコードの確認方法SPFレコードのチェックツールをご案内いたします。SPF Record Testing ToolsSPF Surveyor注意事項SPFレコード内のinclude回数についてSPFレコードに「include:smp.ne.jp」を追加いただくと、更に「spf01.smp.ne.jp」をincludeすることになります。include回数が合計2回となります。RFC4408にて、SPFレコードに設定するinclude回数は10回までと制限されていますので、既に複数のincludeを追加されている場合、include回数の合計にご注意ください。既存のinclude回数が8回以下の場合SPFレコードに「include:smp.ne.jp」を追加してください。既存のinclude回数が9回に達している場合既存のinclude回数を8回以内に減らしていただくか、差出人メールアドレスのドメインにサブドメインを設定し、送信ドメインを分散することをご検討ください。その他キャリアやプロバイダによって、迷惑メールの判定方法や基準には差異がございます。各キャリアやプロバイダの迷惑メール対策につきましては、各キャリアやプロバイダへお問い合わせください。最終更新日：2018/02/20",4
配信停止した人を見たい,配信停止した人は「データ操作（DBオペレーション）」にて検索、確認することが可能です。※こちらでは「オプトアウト」フィールドで配信停止者を管理している場合の確認方法を案内しています。（DBフィールド設定例）「DB」＞「データ操作（DBオペレーション）」にてメールを配信しているDBの「表示」ボタンを押し、検索画面を表示します。「オプトアウト」フィールドの「オプトアウト者」にチェックを入れ、検索すると配信停止した人を確認することができます。（検索結果一覧画面）関連FAQデータを検索したい配信停止を受け付けたい,4
データ登録時にエラーになる,"データ登録時にエラーになる原因には３種類ございます。１．フォーマットに違反しているデータを登録しようとしている。以下のエラー画面が表示される場合登録しようとしているデータが、登録可能な形式で入力されていない、または、フィールドタイプに登録しようとしているデータが合っていないことが原因です。【対処方法】１．登録可能なデータ形式なのかの確認を行います。確認方法は、「フィールドタイプリファレンス (PDF/148KB) 」に案内がございます。※以下は、特にエラーを発生させやすいフィールドです。「性別」フィールド男（女）またはm（f）男性（女性）とすると、エラーになります。「セレクト」フィールドセレクトフィールドのラベルには個々にIDがございます。データ登録時にはそのIDを入力し登録を行ないます。ラベルの値で登録を行なおうとすると、エラーになります。（例）図の場合、「WEB」の値を入力する際は「1」でデータを準備します。「WEB」→「1」「CM」→「2」「紹介」→「3」「マルチセレクト」フィールド「セレクト」フィールドと同様、フィールドを作成した際のIDを入力します。ラベルの値ではエラーになります。マルチセレクトフィールドは複数選択可能なフィールドです。入力方法は（例）の場合、「WEB」「紹介」を登録する場合は「1,2」と入力します。（IDをカンマ区切りで入力）「マルチセレクト128」フィールド「1と0」でデータを準備します。入力方法は(例)の場合、「WEB」「紹介」を登録する場合は「101」と入力します。(登録したいラベル値を「1」登録したくないラベル値を「0」で入力)「WEB」「紹介」→「1」「CM」→「0」２．登録するデータが、フィールドタイプに合っているか確認を行ないます。例えば「テキストフィールド（64bytes）」で作成しているフィールドには全角で32文字しか登録できません。文字の数または文字のタイプをフィールドタイプと合わせる必要があります。１．［DB］の「通常DB管理」をクリックします。２．該当のDB名をクリックします。３．フィールド属性一覧の中の「フィールドタイプ」で、どのタイプのフィールドを使用しているかを確認し、データがフィールドタイプに合うよう修正してください。２．登録締め切り設定を行なっている事により、データ登録作業に割り当てられるレコード数が足りない。以下のエラー画面が表示される場合フォームを作成する際に、フォームからの登録者数に制限を持たせる設定を行なうことで、データ登録するレコードが足りなくなっている事が原因です。【対処方法】１．［Ｗｅｂ］の「フォーム管理」をクリックします。２．該当DBを選択後、作成されているページ名をクリックします。３．締め切りページの「設定変更」をクリックします。４．登録締め切り設定の「このページからの登録者数」のボックスに入っている数字から今回データ登録する数を引いた数を入力します。「現在ボックスに入力されている値」ー「データ登録する数」＝「ボックスに新たに入力する値」５．［変更する］をクリックし、フォーム一覧に戻り［変更を反映］します。上記作業を行なっていただく事で、データ登録するために必要なレコード数を確保したことになり、登録作業を行なうことが可能になります。３．重複データが存在する。以下のエラー画面が表示される場合【ファイル検査後の画面が以下の時】１．データの準備段階で1つ以上同じデータがある。【DB検査結果後の画面が以下の時】２．既にDBに登録済みのデータを登録しようとしている。※上記以外でエラーが発生する場合は、ユーザーズデスクよりお問い合わせください。１は、登録しようとしているデータの中に、同じデータがあることが原因です。２は、登録しようとしているデータの中に、既にDBに登録済みのデータがあることが原因です。【対処方法】１．登録しようとしているデータの中に、同じデータがあるこの場合は、このまま重複しているデータの処理を選択することが出来ます。（例）メールアドレス３件が重複している場合「重複するレコードは登録しない」重複しているデータの３件とも、登録データから除外します。「重複するレコードのうち、２度目以降に出現するレコードを除外」３件の重複アドレスのうち、データの並び順で１つ目のデータのみを登録し、２度目以降に出てくる２つのデータを登録データから除外します。「重複するレコードのうち、最後に出現するレコード以外を除外」３件の重複アドレスのうち、データの並び順で最後に出てくるデータを登録データとし、他２件のデータは登録データから除外します。※対象外「ダウンロード」から重複データをダウンロードし、登録データの修正を行なうことで、重複するデータを修正することも可能です。 ２．既にDBに登録済みのデータを登録しようとしている※このエラーは、DBを作成する際に「重複不可」設定をしている場合に限り発生します。［WEB］の「フォーム管理」で重複不可の設定をしても、このエラーにはなりません。【対処方法】このエラーは、重複データは登録できませんが、既に登録されているデータに影響はありません。どのデータが重複しているのかを確認する場合には、対象外「ダウンロード」から重複データをダウンロードしてください。また登録済みのデータを何度も登録できるようにしたい場合は、「重複不可」を設定しないDBを再発行してください。",2
「登録元管理」では何ができますか,「登録元管理」では主に以下3つの設定を行うことができます。登録元 新規作成各DBにおいて、任意の名称の登録元を作成することができます。例えば登録経路が複数あるデータを1つのグループとしてまとめて管理したり、抽出したりしたい場合に、特定の登録元を作成しておき、登録時に選択することでデータをグルーピングすることができます。登録元マージ各DBにおいて、複数の登録元を1つにまとめる（マージする）ことができます。例えば、データ一括登録時は通常、登録作業をするたびに新規の登録元が作成されますがこれらを1つにまとめたい場合などに活用いただくことができます。（データ一括登録時に作成された登録元をまとめた場合、マージされた登録元は削除されます。）登録元名 変更特定の登録元（グループが「tsv」もしくは「fixed」のもの）の名称を変更することができます。例えば、データ一括登録時に作成される登録元（グループが「tsv」のもの）は登録時に使用する半角英数字のファイル名が登録元名になりますが確認しやすくするために日本語表記に変更するなどして活用することができます。詳しい設定方法については「登録元管理」ページをご参照ください。参考「登録元」とは、どの登録ページ、もしくはどのファイル、どの機能から登録されたか、という登録元の情報です。登録元情報を管理することにより、例えば、登録サイトの効果測定やリスト管理など、様々なシーンでご活用いただけます。最終更新日：2018/2/21,2
シークエンス配信とは何ですか？,シークエンス配信とは、特定の日時を起算日として、配信間隔を決定し、セットしたメールを自動で配信する事ができる機能です。配信のイメージは下記図の通りです。使用例として、読みきりメールマガジン、企画PR、商品PR、資料請求フォローアップ、Eラーニング、旅行体験プロモーション、認知度アッププログラム等があります。詳しい設定方法については「登録から３日後、７日後、１ヶ月後に定型の文面を配信したい (PDF/612KB)」をご覧ください。,4
スパイラル管理画面での推奨環境を教えて下さい,最新の推奨環境は以下から確認できます。スパイラルの利用推奨環境,6
ログイン許可フォーム,当フォームは、弊社の担当者が設定代行や調査のために御社のスパイラル管理画面へログインする必要がある場合に許可していただくためものです。あらかじめご連絡の上、下記フォームより申請していただきますようお願い致します。ログイン許可フォーム【ログイン許可の流れ】　１．ユーザ様より設定代行、もしくは調査のご依頼　２．当ログイン許可フォームより許可申請　３．弊社より電話にてご連絡、パスワードを確認　４．ログインのうえ、設定代行、もしくは調査　５．ログイン許可期間終了時にメールにて通知　６．ユーザ様にてパスワードを変更,6
クリックカウント設定のWebアクセス解析設定について、「クリック情報自動反映」の設定方法が知りたい,概要クリックカウントの設定にて、Webアクセス解析設定の「クリック情報自動反映」を設定すると、クリックカウントURLおよびHTMLメール開封チェックURLに対するクリック情報を、指定したトランザクションDB（TRDB）に反映することができます。※ 反映先TRDBはアカウントに対して共通のトランザクションDBとなります。※ クリックカウントは「クリックカウント設定したURLに対するクリック情報」を格納します。※ HTMLメール開封チェックは「HTMLメール開封チェック設定をしたHTMLメールに対する開封情報」を格納します。（設定画面例１）「メール」＞「クリックカウント設定」のトップページ（設定画面例２）「メール」＞「EXPRESS2」の配信設定画面内「クリックカウント設定」ボタン押下後※ DBへの反映処理は、3分間隔で実施します。（アクセス解析DB設定画面）設定方法設定手順としては大きく２ステップあります。1．反映先TRDBの作成2．アクセス解析DBの設定1．反映先TRDBの作成「DB」＞「トランザクションDB」にて、TRDBを新規作成します。（DB基本設定例）フィールド構成は以下のように設定します。フィールド情報使用可能なフィールドタイプTRDB_登録日時TRDBに登録された日時を格納します。（TRDBの場合、予め設定されます）登録日時機能種別「1」もしくは「2」の値を格納します。「1」：クリックカウント「2」:HTMLメール開封チェックその他、任意で設定した値を格納します。。例）ECサイトにてコンバージョンページを表示した際に「3」という値を取得するプログラムを組んでいる等。整数URLタイトルクリックカウント設定、もしくはHTMLメール開封チェック設定の「URLタイトル」を格納します。数字・記号・アルファベット(32bytes)テキストフィールド(32bytes)テキストフィールド(64bytes)テキストフィールド(128bytes)クリック日時クリックカウントURLをクリックした日時、もしくはHTMLメールを開封した日時を格納します。その他、任意で設定した数字を格納します。例）コンバージョンページを表示した日時を取得するというプログラムを組んでいる等。日付(○年○月○日 ○時○分○秒)日付(○年○月○日 ○時○分)日付(○年○月○日 ○時)日付(○年○月○日)日付(○年○月)登録日時レコードIDクリックカウントURLをクリックした、もしくはHTMLメールを開封した人のレコードIDの値を格納します。その他、任意で設定した数字を格納します。整数配信ルールID対象の配信設定の配信ルールIDを格納します。整数※ 反映先TRDBでアクション設定を行う場合アクション時にエラーが発生した場合、TRDBにクリック情報を反映する際にエラーが発生する可能性があります。そのため、アクション設定内の各チェック項目においては、エラーが発生した場合は「正常終了」するよう設定していただくことをお勧めいたします。詳しくは「トランザクションDBとは（機能ガイド）」をご確認ください。2．アクセス解析DBの設定反映先TRDBを作成後、クリックカウント設定あるいはHTMLメール開封チェックの設定画面にて、アクセス解析DBの設定を行います。ここでは「メール」＞「クリックカウント設定」での設定方法についてご案内いたします。「メール」＞「クリックカウント設定」のトップページにて、画面左下にある「メールアクセスログ用TRDB設定」の「変更」ボタンをクリックします。「反映先TRDB」にて作成したTRDBを選択します。その後、それぞれ対応するフィールドを選択し、「変更」ボタンを押して保存します。設定後、実際にクリックカウント設定、配信設定などを行い、クリック情報がTRDBに反映されるかご確認ください。関連リンククリックカウント設定HTMLメール開封チェック設定最終更新日：2018/2/21,4
配信エラーカウントの見方が知りたい,※エラーコードは下記のページでご確認いただけます。エラーコードリスト 恒久的なエラーとは・エラーコードが「5.X.X」のもので、次回以降届く見込みがないメールアドレスとして規定されています。・送信を成功させるには、アドレスなどの変更が必要です。・ メールアドレスの変更や、登録時の打ち間違いが代表的なエラーの理由です。一時的なエラーとは・ エラーコードが「4.X.X」のもので、メールそのものは有効ですが送信する過程で、メールが一時的に届かない状態を指します。・再度送ることで、届く可能性があります。・ スパイラルでは、一時的なエラーに関しては送信先メールアドレスごとに一時的なエラーが返ってきた時刻を起算とし、　24時間再送を試みます。　再送を試みる間隔は特に定めていなく、起算時刻の直後は10分〜20分に1回といったように頻繁に再送し、　徐々に再送する間隔が空くようになります。　24時間経っても届かなかった場合に、エラー１回とカウントします。,4
データを検索したい,データベース内に登録されたデータは、DBオペレーションにて条件検索することが可能です。【手順】１．[DBオペレーション]をクリック２．データを検索したいDBの[表示]をクリック３．データ検索画面が立ち上がるので、[検索条件]のタブをクリック※テンプレート設定にて、「表示」をクリックした後の初期画面を[検索条件] [検索結果一覧] [新規登録]にそれぞれ設定することが可能です。４．表示条件を指定し、[検索]をクリック５．検索条件確認画面にて検索内容を確認し、次の一覧画面にて内容を表示させたいフィールドにチェックを入れ[検索する]をクリック６．検索結果が表示されます※尚、DBオペレーションは担当者IDごとに前回の検索履歴を保存する仕様になっております。新しい検索条件を指定する際は必ず、画面下部の[検索条件をクリア]ボタンをクリックしてから検索して下さい。,2
担当者IDの情報を変更したい,担当者IDに登録されている情報の変更方法をご案内します。　※担当者IDのID情報（IDの文字列）の変更は受け付けておりません。　　一度削除を申請してから、追加の申請をしてください。（１）管理画面内[管理]にある、[契約情報変更]から「担当者ＩＤ情報変更依頼」をクリック。（２）現在の情報、変更情報などを入力。ご依頼をいただき弊社で変更作業を行います(１営業日いただいております)。終了後、ご担当者様にお知らせ致します。【注意点】依頼は現在登録している ご利用管理者様または担当者IDご利用者様よりご依頼ください。ご登録内容確認のためにご依頼受付後、弊社より連絡させていただく場合がございます。ご入力内容に誤りがある場合、内容確認のためご希望日以降の完了となる可能性がございます。,6
通知メールを設定したい,スパイラルで設定できる通知メールは、S/MIMEで暗号化するものと、暗号化せず平文で送信するものとの2種類があります。設定の手順については「通知先管理」をご確認ください。,4
会員向けアンケートがしたい,Ｅメール文中のURL からダイレクトに各会員のマイページ（ マイエリア内の会員専用ページ ）にリンクすることで、 パスワードを入力するようなログイン等のステップを踏まずにアンケートを実施することができます。クリックログインアンケートは、本システムの標準機能である登録機能と会員管理機能を組み合わせて利用することで実現します。設定の詳細は「マイエリア  」を参照ください。,3
テスト配信をしたい,テスト配信には2つの種類があり、用途によって使い分けていただく事が可能です。・テスト配信　　任意のアドレス及び、テストDBのリストに対して配信します。　　こちらは文面を確認するのみの機能です。　　クリックカウントや、オプトアウトURLは動作しません。・サンプリング配信　　DBの中のデータからテスト配信するアドレスを選び、　　本番配信とまったく同じ環境で配信されます。　　テスト配信では動作しなかったクリックカウントやオプトアウトも　　正常に動作致します。　　通常、こちらでテスト配信をしていただく事をお薦めしております。テスト配信の手順は、以下になります。１．画面下にある配信設定一覧の中から、今回テスト配信を行なう対象の封筒名をクリック２．[テスト・サンプリング配信設定を開く]をクリック３．[１]テスト配信、又は[２]サンプリング配信のどちらかを選択後、テスト配信を行なう設定方法は「DB内のメールアドレスにメールを配信したい (PDF/7.4MB)」 の6ページ目からをご覧ください。,4
ガジェット機能で、レコード数は使用しますか。,ガジェット機能において、レコード数を使用する機能は２つあります。「結果がすぐ見える投票」，「みんなのイベントカレンダー」の２機能になります。この２つの機能において、レコード数の利用形式が変わってきます。以下に各機能に応じてのレコード数利用形式を記載します。「結果がすぐ見える投票」回答項目数=レコード数になります。上記図を例にとると、回答が「はい」「いいえ」の２つ設定されています。また、「回答項目数を設定してください。」のプルダウンが２となっている為、使用されるレコード数は「２」となります。実際の投票数はレコード数には加算されませんので、投票カウントを何件に設定しても、レコード数が増えるということはありません。「みんなのイベントカレンダー」予定を登録する度に、レコード数を使用することになります。その為、予定の登録と同時にレコード数は増加します。上記図を例にとると、「このカレンダー全体で使用できるレコード数は20件で且つ、同日に複数の予定を登録する際は最大5件まで登録が可能。」という意味になります。この場合、予定を登録する度にレコード数は増加することになりますが、 カレンダー全体のイベント数の上限に当たる20件に達すると、それ以上の 登録は出来なくなります。 その場合は、カレンダー全体のイベント数の上限を変更する必要があります。,3
「結果がすぐ見える投票」では、「ガジェットカラーパターン」以外の色を選択することは出来ますか。,「結果がすぐ見える投票」では、ガジェットカラーパターン以外の色を選択する事は、現状できない仕様となっています。また、生成されたタグを書き換える事も出来ません。,3
エラー反映の「反映」をクリックするとどうなりますか？,エラー反映の「反映」をクリックすると、配信エラー情報をDBに手動で反映させることができます。過去の配信におけるエラー情報を手動でDBに反映した上で配信したい場合などに使用します。（使用シーン例）・毎回最新の配信リストをDBに登録（インポート）して配信しているため、過去のエラー情報がDBに無い・配信エラーフィールドを設定せずに配信してしまい、過去のエラー情報がDBに無い基本的に、DBに配信エラーフィールドを含めて配信設定を行った場合、エラー情報はDBに自動反映するよう設定されるため、エラー反映を手動で行う必要はありません。（配信リスト設定内「配信エラーフィールド」）※ 注意エラー情報を反映するためには、DBに「配信エラー」、もしくは「配信エラーカウント」のフィールドが含まれている必要があります。エラー情報を反映するフィールドが「配信エラーカウント」フィールドの場合、「反映」の作業を行った分だけエラーがカウントされます。同一の配信設定におけるエラー反映でも、複数回反映の作業を行った場合はその分だけエラーがカウントされますのでご注意ください。各配信設定におけるエラー反映は以下の画面より可能です。・EXPRESS配信、EXPRESS2の場合：操作画面上「メール」＞「EXPRESS配信レポート」・シークエンス配信の場合：操作画面上「メール」＞「シークエンス配信」＞対象の配信設定を開く・サンクス配信の場合：操作画面上「メール」＞「サンクス配信」＞対象のフォームを選択＞「編集」マークをクリック・タイムリー配信の場合：操作画面上「メール」＞「タイムリー配信」関連リンク配信エラーを管理するエラー情報を自動で反映する方法配信ログからエラー情報を反映する方法手元にあるエラー情報をDBに反映する方法エラー情報をSTOPDBに自動反映する方法「配信エラーカウント」と「配信エラー」の違い恒久的なエラーと一時的なエラー最終更新日：2018/1/22,4
仮想ＤＢ管理（フィルタ型）の利用例を教えてください,仮想ＤＢ管理（フィルタ型）とは通常のDBを元に、フィールドやレコードを絞り込んだ仮想的なデータベースです。仮想ＤＢ管理（フィルタ型）を使用することで、必要な部分のみ抽出されたデータベースを構築することができます。【仮想ＤＢ管理（フィルタ型）の利用例】一例として、以下のように各担当者がそれぞれ必要とする情報のみ活用したい場合にお使いいただけます。セミナー受付やアンケートなどを実施した際、担当者別に必要とするデータベースを構築。１．本店担当者。　　登録された情報すべてが必要。　　「マスタ DB」を利用。２．東京支店担当者。　　東京支店に登録された情報のみ必要。　　抽出ルール「東京」を適用した「東京支店仮想DB」を利用。３．大阪支店担当者。　　大阪支店に登録された情報のみ必要。　　抽出ルール「大阪」を利用した「大阪支店仮想DB」を利用。　　※マルチアカウントと併用することにより、使用するDBに制限をかけることができます。　　これにより東京の担当者は「東京支店仮想DB」以外は利用できないなどの制限をかけ、情報セキュリティをより強固にすることが出来ます。,2
